Name,Index
Childhood,1
ScannerRangeGalaxy,100
ScannerRangeCluster,102
ScannerRangeSystem,103
Current_Galaxy_Viewing,105
Active_World,13
Reputation,2
InSquadHumanMale,3817
InSquadHumanFemale,3818
InSquadTurian,3819
InSquadKrogan,3820
InSquadAsari,3821
InSquadQuarian,3822
InPartyHumanMale,3939
InPartyHumanFemale,3940
InPartyTurian,3941
InPartyKrogan,3942
InPartyAsari,3943
InPartyQuarian,3944
Renegade_Points,46
IsFemale,4639
Paragon_Points,47
InSquadJenkins,4770
InPartyJenkins,4774
SecondPlaythrough,6894
CurrentMusicState,74
PlotAddedMaxGrenades,81
PlotAddedMaxMedigel,82
